CRN	COURSE	CAPACITY	NAME	SEMESTER	YEAR	TEACHER	STATUS
13008	LENG4999	{"otros": 99}	1	2	2015	0000001	0
12935	LENG4997	{"otros": 25}	1	2	2015	0000001	0
12936	LENG4997	{"otros": 25}	1	2	2015	0000001	0
12937	LENG4997	{"otros": 25}	1	2	2015	0000001	0
18535	LENG4997	{"otros": 25}	1	2	2015	0000001	0
12938	LENG4998	{"otros": 25}	1	2	2015	0000001	0
12939	LENG4998	{"otros": 25}	1	2	2015	0000001	0
12940	LENG4998	{"otros": 25}	1	2	2015	0000001	0
12941	LENG4998	{"otros": 25}	1	2	2015	0000001	0
18536	LENG4998	{"otros": 25}	1	2	2015	0000001	0
16739	LENG4998	{"otros": 25}	1	2	2015	0000001	0
12945	LENG4998	{"otros": 25}	1	2	2015	0000001	0
13132	LENG4998	{"otros": 25}	1	2	2015	0000001	0
14887	LENG4998	{"otros": 25}	1	2	2015	0000001	0
14888	LENG4998	{"otros": 25}	1	2	2015	0000001	0
19035	LENG4998	{"otros": 25}	1	2	2015	0000001	0
